,feature,importance
0,dur,0.015606254897634713
1,service,0.0146624309207807
2,spkts,0.012389460377104604
3,dpkts,0.011786766468411636
4,sbytes,0.11764200286230776
5,dbytes,0.02411474700623194
6,rate,0.021183046537021487
7,sttl,0.0907312369630893
8,dttl,0.004850447314459826
9,sload,0.04981307979725053
10,dload,0.032310633628849734
11,sloss,0.015588626543923383
12,dloss,0.016106236386862573
13,sinpkt,0.011569849496788806
14,dinpkt,0.003561709116761506
15,sjit,0.008134564319253558
16,djit,0.003796600790895324
17,swin,0.002592886307245246
18,stcpb,0.0017838088288009712
19,dtcpb,0.0020024529575339424
20,dwin,0.000297904874534763
21,tcprtt,0.0072164460928137416
22,synack,0.009881431308404272
23,ackdat,0.0046719002887912284
24,smean,0.13755706554647384
25,dmean,0.056959093968965424
26,trans_depth,0.00499947237278356
27,response_body_len,0.000836580094482563
28,ct_srv_src,0.04193428400603703
29,ct_state_ttl,0.030673190933033403
30,ct_dst_ltm,0.009382460306438975
31,ct_src_dport_ltm,0.00669506729644505
32,ct_dst_sport_ltm,0.013899919962941423
33,ct_dst_src_ltm,0.08742927289965705
34,is_ftp_login,0.0
35,ct_ftp_cmd,3.0854877386296633e-06
36,ct_flw_http_mthd,0.006771037701554702
37,ct_src_ltm,0.004619619723107588
38,ct_srv_dst,0.11220815495771967
39,is_sm_ips_ports,0.0037371706568694596
